Pathway,Up_Count,Down_Count,Direction
Ribosome,0,0,Down
HIF-1 signaling pathway,0,0,Up
Glycosphingolipid biosynthesis,0,0,Up
Glycerolipid metabolism,0,0,Up
Peroxisome,0,0,Up
Fructose and mannose metabolism,0,0,Down
mTOR signaling pathway,0,0,Up
Base excision repair,0,0,Down
Basal transcription factors,0,0,Up
Glycerophospholipid metabolism,0,0,Up
