,Vaccination_V3,Timepoint_24h
ME1,0.42310870827835606,0.0
ME2,-0.3601252827600132,0.0
ME3,-0.15209226888032648,0.0
ME4,-0.1256414395098349,0.0
ME5,-0.05288858853479451,0.0
ME6,0.26444294267397256,0.0
ME7,-0.21155435413917803,0.0
ME8,-0.039666441401095875,0.0
