,ME_EM0,ME_EM1,ME_EM2,ME_EM3,ME_EM4,ME_EM5,ME_EM6,ME_EM7,ME_EM8,ME_EM9,ME_EM10,ME_EM11,ME_EM12,ME_EM13,ME_EM14,ME_EM15,ME_EM16,ME_EM17,ME_EM18,ME_EM19
GSM7888954,-0.17587599015470748,-36.01238345060333,5.226610630355787,-0.16334251125533863,-4.472314908618324,-6.186781420645042,1.5977941176835677,8.443983476185515,-9.769075901094801,-1.143820460559902,-0.21371366226032473,0.8521449354818184,10.488844346457336,0.17295413974019552,-0.7519697134133665,1.530537274753954,0.4855074246651314,5.127258370244793,2.061518934818996,-2.657312721523747
GSM7888955,0.6353293219583965,-10.953505860983904,-6.722933100088652,-2.6744406132745104,8.780822358322812,8.735798018499414,2.63792676479967,-10.914560675825955,13.491390333850436,-0.925442848706917,-0.048033170333893004,1.1675213979795507,0.6811343793468456,1.0184411113745857,-0.9879314011701069,-3.5782031054156436,-0.905284534049736,-7.115571352649813,-0.5767227504194117,-1.0949754705788985
GSM7888956,-1.1569141751223477,3.7967443368054172,4.089146919102366,1.586734798800083,-3.7043630961686853,-5.308050611716825,3.9362866227842153,5.3883196819564905,-7.84594769202677,0.38340375566767143,1.936314120672967,1.9227872480778612,0.48655992818524024,-0.7418582782886816,-2.461659146133375,0.5376469244860296,3.76614488505187,3.9409908470866104,-1.3780882963682006,-1.751528875424498
GSM7888957,1.377493833944534,-47.42264549408426,-4.005804613065594,-0.6274219431648996,5.531506130935046,4.910572686522632,2.933880743022914,-4.937942348940236,8.453897517239717,-0.9817992924687959,-0.3101984450198695,1.1520405502543722,0.2979543901829535,1.3936257524703446,0.2839948080512309,-2.322070978656959,-0.16587333036903565,-4.2493040567876195,1.1240385842864886,-2.6172095061336265
GSM7888958,2.9351299511910764,-3.8776091445867893,3.6135763523893174,0.22824127351279352,-4.559278626181132,-5.36632031375173,-0.09870065331858656,7.09120681163341,-9.412556631910338,-0.8288669899668956,1.1382142479886725,0.36290393670659477,1.1342209397606338,-0.8710055244265119,-3.0816548414606237,2.8156938826144686,-0.20074700817335256,4.480995291030487,0.5639267464100124,1.4461017986151727
GSM7888959,1.9892649291471465,0.656233443952835,-4.096043161486331,-1.2770279617262104,1.6089261797692078,4.26339233948564,-0.012546911764015999,-3.6155917784984872,5.369546146467913,0.6078709801457947,0.778387080638108,-0.28927808204489447,1.1557492326779446,-0.03247017207867787,-1.940474592276053,-0.9045206279881136,-2.55248250401431,-3.8026657010733147,-0.12859785463155837,2.05552829930524
GSM7888960,-2.554765730194145,98.28919343939961,-1.0976159063782995,2.1169939917386196,-1.1290219733113365,-2.61176963313448,-2.2714400927052503,-1.9057806058812488,-1.2904282823456688,2.6414649102414023,1.3838229525019585,-1.0587042049838777,0.26086873861567933,-3.446964721685636,-0.015587722321006756,0.4743983233901039,3.46580817156024,-0.292555988909185,-2.3229948946173886,0.4468004405761344
GSM7888961,1.721770270174911,5.657913656806373,-6.750489771666981,-0.2891925312039947,8.243215504087749,9.485144938215306,-2.648578143599995,-9.889970382141076,12.580530324386089,-0.4281441145966502,-0.8617938390551269,-0.9664687063352122,0.2877086862454172,0.3248989681824951,5.648621154842579,-1.2416027154076388,-0.022013907423973043,-6.995959197568833,0.7315103135100681,-0.2831386772544123
GSM7888962,-2.324336358148641,97.92668765134407,-2.0100627060396525,0.8487255370858314,0.7127399843432329,0.9525038208611308,-1.5681401330987819,-4.491759982850588,3.101482309695236,1.3243127043155385,0.20729227846175988,-0.5418044251006685,0.5148039855717735,-1.8357015883632077,1.2388819916780933,0.6352712613217114,1.8679566435831956,-1.6127884559828214,-2.0215722119011037,0.304087650959584
GSM7888963,0.7489200394584374,110.56518608235685,-6.385794366781193,0.6547960734058583,6.48053631427833,6.652846319981206,-2.077780486868488,-8.042071756952677,9.20293283400229,0.7731087747840655,-0.2277951681264752,-0.22944357805642107,0.18091166336856906,-1.7708226607461115,2.282158301262283,-2.0762484392435967,1.0264116924661841,-5.563668286530139,-1.6437469011611447,-0.09743834941538078
GSM7888964,-0.8701111914980791,33.902326133806696,3.556047373381857,-1.9183751088056535,-2.6554909871226835,-3.0649437948447575,3.315367954927645,1.3391270797946868,-5.004902412357438,2.6449793366682406,-1.0533098728036054,1.7813600457430887,1.5964581395589856,0.04286428917684129,1.0087172022693502,0.7729619498040279,-3.533295786354622,3.332236959307855,-2.2957847409966945,-0.32533838437733936
GSM7888965,5.831865316970534,-91.91340578971082,-0.37229060651983326,-2.727100101714032,-0.3548391226598207,0.6626922166758287,-0.052566076142952806,-0.19265735200827108,2.531213175898637,-1.1321116098456214,-1.2158460447750539,1.3740229772914994,2.1814206402801415,2.811860549478703,4.1589708942228665,1.0470110972641897,-4.389552316799697,-1.3832915995083068,2.160364196852687,-2.1557574308939893
GSM7888966,-4.761475501757151,86.13876724180103,2.0744083159805218,1.1598008715771635,-3.2505042720991244,-3.7913025967336274,-0.1471207992846262,2.9273176322386876,-6.092038569325488,2.723936970208962,0.9268591494404711,-1.6242851420537583,0.2614706390127821,-2.036270161056842,-5.308329333149823,0.07602273286674759,0.22008998174644803,3.40607871209666,-4.360002579305911,2.1365333236884254
