Pathway,Up_Count,Down_Count,Direction
NOD-like receptor signaling pathway,0,0,Up
Fluid shear stress and atherosclerosis,0,0,Up
Pyrimidine metabolism,0,0,Up
Lysosome,0,0,Up
Prostate cancer,0,0,Down
Starch and sucrose metabolism,0,0,Down
Hepatocellular carcinoma,0,0,Down
Rap1 signaling pathway,0,0,Down
Ribosome biogenesis in eukaryotes,0,0,Down
mTOR signaling pathway,0,0,Down
